Year, Inflation Rate (%)
1960,5.44
1961,6.28
1962,5.27
1963,-2.69
1964,0.86
1965,4.1
1966,9.69
1967,-3.73
1968,-0.48
1969,10.16
1970,13.76
1971,16.0
1972,3.46
1973,5.4
1974,12.67
1975,33.96
1976,24.3
1977,15.09
1978,21.71
1979,11.71
1980,9.97
1981,20.81
1982,7.7
1983,23.21
1984,17.82
1985,7.44
1986,5.72
1987,11.29
1988,54.51
1989,50.47
1990,7.36
1991,13.01
1992,44.59
1993,57.17
1994,57.03
1995,72.84
1996,29.27
1997,8.53
1998,10.0
1999,6.62
2000,6.93
2001,18.87
2002,12.88
2003,14.03
2004,15.0
2005,17.86
2006,8.23
2007,5.39
2008,11.58
2009,12.54
2010,13.74
2011,10.83
2012,12.22
2013,8.5
2014,8.05
2015,9.01
2016,15.7
2017,16.5
2018,12.1
2019,11.4
2020,13.25
2021,16.95
2022,18.85
